gov: performance
sweep at 4096x4096 K=3
NACC TH   TW    opt_ms  speedup
1    16   256    10.128    7.06x
1    16   512     9.847    6.60x
1    16   1024   10.262    6.34x
1    32   256    10.306    6.38x
1    32   512    10.445    6.27x
1    32   1024    9.688    6.11x
1    64   256    11.945    5.70x
1    64   512    10.597    6.18x
1    64   1024   10.399    6.62x
2    16   256     7.232    8.37x
2    16   512     7.514    8.62x
2    16   1024    7.487    9.46x
2    32   256     7.876    8.15x
2    32   512     8.724    7.70x
2    32   1024    7.824    8.59x
2    64   256     9.444    7.45x
2    64   512     8.148    8.33x
2    64   1024    8.198    7.42x
4    16   256    13.097    5.07x
4    16   512    12.994    5.11x
4    16   1024   12.930    5.30x
4    32   256    13.898    4.93x
4    32   512    13.500    5.05x
4    32   1024   13.151    5.08x
4    64   256    15.097    4.66x
4    64   512    13.790    5.18x
4    64   1024   13.498    5.08x
8    16   256    12.434    5.46x
8    16   512    10.865    6.24x
8    16   1024   11.432    5.37x
8    32   256    12.630    4.56x
8    32   512    11.972    5.19x
8    32   1024   11.256    5.26x
8    64   256    14.295    4.79x
8    64   512    11.838    6.17x
8    64   1024   11.338    6.36x
